Name      Cycle   Time Elapsed in Secs (2.45 GHz)
ntt_512   8096    3.3044897959183673e-06
ntt_1024  20873   8.519591836734695e-06
ntt_2048  46967   1.9170204081632654e-05
ntt_4096  95796   3.910040816326531e-05
mmm_1024  18305   7.471428571428571e-06
mmm_2048  37908   1.547265306122449e-05
mmm_4096  84883   3.464612244897959e-05
mmm_8192  219603  8.96338775510204e-05
